year,month,CAPE,real stock return,real bond return,
1899,12,18.51264964360020000,0.016299833887043300000,0.002267039177431320000,
1900,1,18.67427536244480000,0.008951118195066330000,-0.008960093595511090000,
1900,2,18.70379741725140000,0.011171497584540900000,0.002976156150040540000,
1900,3,18.77579342123840000,0.015974440894568800000,0.002972753842298560000,
1900,4,18.93640203332270000,-0.020750125942218000000,0.027431866344056700000,
1900,5,18.40319701695040000,-0.014261474394017700000,0.015348700280353000000,
1900,6,17.99271158430400000,-0.008508155025116810000,-0.009269147827130180000,
1900,7,17.68954546895280000,0.030053552553881400000,0.015341811789035800000,
1900,8,18.06961466678420000,-0.031631531819495200000,-0.009275869287276970000,
1900,9,17.34187415122470000,0.053145427576109600000,0.015334923374844100000,
1900,10,18.10239878455610000,0.082258735440931900000,0.002948938221063680000,
1900,11,19.41958460376080000,0.077343099024813200000,0.015481741670487800000,
1900,12,20.74405116087080000,0.020022061041096800000,-0.009439269186773290000,
1901,1,20.97858183453620000,0.041896957076499300000,0.014539561655583900000,
1901,2,21.67914984820620000,0.039367816091953900000,0.002020722223229800000,
1901,3,22.34758395068380000,0.101055075637285000000,0.014710800924792000000,
1901,4,24.40971699482720000,-0.047212325962326100000,0.002032191754510300000,
1901,5,23.06401268486360000,0.102953859422165000000,0.002037926403162690000,
1901,6,25.23846620596030000,-0.075703327700193700000,-0.010482337945157500000,
1901,7,23.14484855370810000,0.004606754435764640000,-0.010320986719696100000,
1901,8,23.07717771384440000,-0.013884907087645700000,-0.010165498513939300000,
1901,9,22.59046831686020000,-0.007951041666666490000,0.002060864218759400000,
1901,10,22.25290161840890000,0.012497157788717400000,-0.010006926453195900000,
1901,11,22.37507477765280000,-0.024540721778877000000,-0.009856519630590870000,
1901,12,21.68021514102970000,0.037092064822676000000,0.014150702173247900000,
1902,1,22.34029079603360000,0.011922208538587900000,0.001800834994029280000,
1902,2,22.45995745246040000,0.004502442002441760000,0.001809569580750740000,
1902,3,22.41065228821730000,0.025082131397415900000,-0.010107524379812300000,
1902,4,22.82310869849780000,-0.010947427838844500000,-0.009959587410722780000,
1902,5,22.42795449332980000,-0.014303696809860500000,-0.009811936341070580000,
1902,6,21.96374229551460000,0.025820451843043800000,0.001844505312206040000,
1902,7,22.38568658940140000,0.042024844653971300000,0.013638165640694300000,
1902,8,23.16867183409290000,-0.006332838542679300000,-0.009786041109822060000,
1902,9,22.85656638195450000,-0.091906614065254700000,-0.063472719689421800000,
1902,10,20.60442540185980000,-0.002780688462878710000,0.035657759874815100000,
1902,11,20.40854125507220000,-0.030615130465654400000,-0.009246238009100070000,
1902,12,19.63323212682380000,0.042776606807285200000,-0.009115220704544400000,
1903,1,20.31813205382850000,-0.002627068557919610000,0.002046305352876090000,
1903,2,20.10705151755280000,-0.003055810266578860000,0.036211688289146600000,
1903,3,19.88456038487280000,-0.037369018151815300000,0.002060747133675990000,
1903,4,18.98002260182630000,0.007177851213168610000,0.025376717938691700000,
1903,5,18.95485872303990000,-0.051535087719298000000,0.002075188314237590000,
1903,6,17.81855172296850000,-0.041995125348189500000,0.002082408679662470000,
1903,7,16.91817841476670000,-0.027940389294403900000,0.002089628895307840000,
1903,8,16.29911879090350000,-0.031065403321204800000,-0.009423872285820090000,
1903,9,15.65435911519690000,-0.016687246686413900000,0.013758863814748300000,
1903,10,15.25294382577880000,0.019686719389218500000,0.013899251168584500000,
1903,11,15.40787753429790000,0.050822717622080800000,0.002118508261958580000,
1903,12,16.04289414005010000,-0.002335032050028270000,-0.020912456803570200000,
1904,1,15.86183391403360000,-0.044621316486275900000,-0.020245161023062200000,
1904,2,15.02149838033140000,0.012652882245254700000,0.013660861054068500000,
1904,3,15.08193017625890000,0.040851609568965700000,0.013807321020329800000,
1904,4,15.56549061169150000,0.006231211370715690000,0.025874322810660800000,
1904,5,15.52582089625460000,0.005769230769230750000,0.002295905511348510000,
1904,6,15.47443363865270000,0.045656682027649800000,0.002301636614683300000,
1904,7,16.03640162962410000,0.025830031866431300000,-0.009345823416102020000,
1904,8,16.30465197885100000,0.035977870404012800000,-0.009210108792883200000,
1904,9,16.74260004916370000,0.062348588342440800000,0.002318829467800930000,
1904,10,17.63319737082140000,0.033802033515069100000,-0.020194739942048100000,
1904,11,18.07620022377010000,0.012953896368829200000,0.002330290989519530000,
1904,12,18.15967911870320000,0.024966666666666600000,0.002336021636384800000,
1905,1,18.45985203245590000,0.046987939897192600000,0.003249082644515950000,
1905,2,19.16899637582980000,0.043104813690668400000,0.014638809281362500000,
